BPC,CCR,Report Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Allegation,Finding,ofcrRace,ofcrSex
16-Jan,67127,01-01-2016,Walk In,65,Black,Female,01/25/2016,UNKNOWN COMMAND,Procedure,Not Sustained,Unknown,Unknown
16-Feb,67128,01-04-2016,Walk In,75,Black,Male,01/21/2016,11TH PRECINCT,Procedure,Admin. Closure,Black,Male
16-Feb,67128,01-04-2016,Walk In,75,Black,Male,01/21/2016,11TH PRECINCT,Procedure,Admin. Closure,Black,Male
16-Mar,67129,01-04-2016,Telephone (or TDD),60,Black,Female,03-07-2016,5TH PRECINCT,Demeanor,No Charge,,Male
16-Mar,67129,01-04-2016,Telephone (or TDD),60,Black,Female,03-07-2016,5TH PRECINCT,Demeanor,Not Sustained,Hispanic,Male
16-Mar,67129,01-04-2016,Telephone (or TDD),60,Black,Female,03-07-2016,5TH PRECINCT,Force,Not Sustained,Hispanic,Male
16-Mar,67129,01-04-2016,Telephone (or TDD),60,Black,Female,03-07-2016,5TH PRECINCT,Procedure,Exonerated,Hispanic,Male
16-Mar,67129,01-04-2016,Telephone (or TDD),60,Black,Female,03-07-2016,5TH PRECINCT,Procedure,Exonerated,,Male
16-Apr,67130,01-04-2016,Walk In,39,Black,Male,01/21/2016,UNKNOWN COMMAND,Procedure,Admin. Closure,Unknown,Unknown
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Demeanor,Sustained,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Demeanor,Sustained,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Entry,Not Sustained,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Force,Not Sustained,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Procedure,Exonerated,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Procedure,Exonerated,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Procedure,Sustained,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Procedure,Sustained,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Procedure,Unfounded,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Property,No Charge,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Property,No Charge,White,Male
16-May,67131,01-04-2016,In-Custody,33,Black,Male,03/28/2016,6TH PRECINCT,Service,Unfounded,White,Male
16-Jun,67132,01-05-2016,Walk In,30,Black,Male,02/24/2016,12TH PRECINCT,Demeanor,Not Sustained,Black,Male
16-Jun,67132,01-05-2016,Walk In,30,Black,Male,02/24/2016,12TH PRECINCT,Procedure,Exonerated,Black,Male
16-Jul,67133,01-05-2016,Walk In,41,Black,Female,03/22/2016,HOMICIDE SECTION,Demeanor,No Charge,Black,Male
16-Jul,67133,01-05-2016,Walk In,41,Black,Female,03/22/2016,HOMICIDE SECTION,Procedure,Not Sustained,Black,Male
16-Jul,67133,01-05-2016,Walk In,41,Black,Female,03/22/2016,HOMICIDE SECTION,Service,Exonerated,Black,Male
16-Jul,67133,01-05-2016,Walk In,41,Black,Female,03/22/2016,HOMICIDE SECTION,Service,Not Sustained,Black,Male
